track_name,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,liveness,speechiness
Coffee,0.656,0.798,0.572,92.03,-6.608,0.00862,0.0,0.321,0.103
The Debate Is Over (If You Want It),0.401,0.857,0.594,173.993,-5.207,5.48e-05,0.000397,0.0519,0.129
Who Do You Think You Are?,0.675,0.777,0.507,105.022,-4.699,0.175,0.00703,0.297,0.0392
Beneath The Dunes,0.523,0.894,0.842,140.735,-6.467,0.0607,0.624,0.235,0.0281
Light Above The Trees,0.402,0.0298,0.0736,130.672,-25.601,0.991,0.857,0.0956,0.0463
Pimp Juice,0.81,0.649,0.59,74.383,-9.094,0.199,7.66e-05,0.171,0.0908
Honor [For Oboe And Strings],0.125,0.184,0.0384,66.687,-18.568,0.892,0.89,0.103,0.0419
In Case You Don't Remember,0.519,0.789,0.612,155.79,-5.44,0.298,0.000157,0.136,0.0484
R U Crazy - Radio Edit,0.546,0.586,0.819,89.089,-4.211,0.0699,0.0,0.109,0.272
You Said (feat. Quavo),0.577,0.557,0.177,119.977,-6.894,0.147,0.0,0.21,0.114
The Death of Me,0.563,0.725,0.677,102.962,-6.366,0.293,0.000525,0.361,0.0317
Me And Those Dreamin' Eyes Of Mine,0.511,0.402,0.503,83.339,-10.695,0.702,0.00014,0.11,0.219
Fiddle Dee Dee,0.967,0.366,0.964,110.048,-12.628,0.585,0.0,0.0596,0.113
"Bright Lights, Big City",0.744,0.349,0.734,92.433,-9.234,0.973,0.0155,0.108,0.0385
Isolated Incidents,0.509,0.857,0.308,179.956,-6.622,0.00293,0.906,0.105,0.052
Simple Science - Radio Edit,0.678,0.715,0.902,116.995,-7.656,0.0123,0.000145,0.163,0.0316
The Game of Love And How To Destroy It,0.54,0.994,0.0889,80.946,-4.241,0.562,0.0,0.95,0.934
Midnight,0.731,0.921,0.633,98.976,-4.695,0.38,1.78e-05,0.182,0.0849
Real Peach,0.579,0.559,0.328,151.985,-7.338,0.398,0.000206,0.0817,0.0325
Never Let Me Go,0.513,0.842,0.158,180.126,-5.605,0.087,0.00683,0.16,0.0628
Everything Apart,0.656,0.324,0.11,80.982,-12.341,0.19,0.63,0.121,0.128
