track_name,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,liveness,speechiness
Real McKoy (feat. Busy Signal),0.745,0.623,0.568,100.113,-5.416,0.0113,0.0,0.0756,0.332
The Prince Of The Hanging Gardens,0.452,0.481,0.355,125.024,-10.769,0.487,0.0,0.135,0.0441
Car Park,0.615,0.33,0.414,139.921,-10.47,0.677,2.1e-06,0.108,0.0335
U & UR Hand,0.906,0.517,0.93,140.989,-10.814,0.168,0.0,0.0563,0.0439
Shadowplay - 2007 Remaster,0.433,0.756,0.117,145.443,-7.855,0.000997,0.761,0.124,0.0565
Summertime Won't Last Long,0.607,0.663,0.74,165.866,-7.4,0.0417,0.0,0.125,0.178
On Your Mark (4/4),0.773,0.275,0.524,133.124,-12.011,0.82,0.0,0.0558,0.201
Dwelling Places - Live,0.516,0.271,0.204,143.759,-13.139,0.787,0.925,0.1,0.0258
Tú Me Quemas,0.738,0.944,0.89,124.99,-1.436,0.112,0.0,0.383,0.0373
Nunya (feat. Dom Kennedy),0.675,0.71,0.574,97.98,-4.027,0.39,0.0,0.381,0.21
Everything Now,0.548,0.865,0.61,116.046,-5.325,0.00171,0.000449,0.457,0.0302
Toumeiningen 18go,0.494,0.766,0.454,141.98,-4.856,0.0162,3.69e-06,0.179,0.0364
Angel of Small Death and the Codeine Scene,0.364,0.64,0.386,93.507,-5.757,0.201,7.25e-05,0.12,0.0506
After Midnight,0.699,0.32,0.525,95.973,-18.988,0.171,0.146,0.0771,0.0337
One Heart,0.646,0.674,0.701,81.926,-6.02,0.0908,0.0,0.155,0.192
Le Coeur Ouvert,0.365,0.387,0.35,70.019,-10.239,0.182,0.0,0.239,0.0313
All The Things You Are,0.554,0.0787,0.51,127.889,-17.683,0.961,0.505,0.11,0.0458
Another Life (feat. Mark Asari),0.594,0.831,0.411,122.962,-5.428,0.0112,0.0,0.0562,0.0379
Viviré por Siempre,0.677,0.95,0.944,148.758,-5.231,0.0642,1.38e-05,0.255,0.0437
Falling Apart,0.528,0.942,0.421,110.058,-2.825,8.26e-05,0.0,0.344,0.0512
Sugar Wraith,0.6,0.767,0.291,164.079,-4.232,0.26,0.0,0.0979,0.0868
Doornails,0.531,0.348,0.401,146.583,-11.701,0.351,0.0,0.176,0.044
Debris,0.571,0.628,0.798,73.738,-9.922,0.574,0.0123,0.0823,0.0317
Empty,0.482,0.381,0.42,81.712,-13.93,0.455,0.00295,0.114,0.0311
Craving You,0.613,0.839,0.526,104.975,-3.799,0.000854,0.0,0.341,0.0352
No Me Hables (Live),0.381,0.785,0.461,178.151,-6.862,0.242,4.89e-05,0.739,0.16
Beer Run (Extended) - Live,0.606,0.626,0.797,106.742,-7.108,0.726,0.0,0.714,0.073
And Then What,0.755,0.732,0.809,170.039,-5.431,0.00901,0.0,0.0636,0.233
Dat Way,0.767,0.749,0.225,144.968,-8.097,0.0609,6.87e-06,0.709,0.309
Wolf (feat. Quin),0.413,0.588,0.434,179.685,-7.009,0.136,0.00155,0.146,0.0806
We've Gone Respectable,0.0886,0.0162,0.0329,85.324,-26.445,0.982,0.967,0.115,0.0386
The Man Machine - 2009 Remastered Version,0.49,0.774,0.808,89.371,-10.854,0.0419,0.708,0.175,0.0573
Ordinary World,0.472,0.652,0.401,140.124,-10.171,0.0131,1.12e-05,0.14,0.0305
Convention,0.705,0.165,0.394,118.223,-10.562,0.903,0.00267,0.106,0.0422
Concrete Angel,0.622,0.392,0.274,77.991,-9.737,0.498,0.0,0.146,0.0253
Misty,0.26,0.319,0.194,87.727,-11.264,0.919,0.00498,0.193,0.0316
For the First Time,0.473,0.846,0.767,119.616,-4.375,0.198,0.0,0.271,0.0741
Nancy From Now On,0.534,0.659,0.497,107.052,-8.279,0.487,0.0808,0.0892,0.027
El Mismo Amor,0.766,0.676,0.638,96.002,-5.573,0.508,0.0,0.234,0.0291
The Come On,0.87,0.736,0.847,119.56,-8.377,0.0603,0.26,0.0377,0.0515
God Created Eve,0.673,0.0415,0.23,88.802,-34.113,0.521,0.0,0.127,0.678
Moscow Wind Up,0.363,0.469,0.09,100.007,-16.315,0.181,0.921,0.094,0.0386
Second Solution,0.228,0.942,0.942,203.898,-4.602,0.00657,0.0,0.176,0.0442
British Accented Romans,0.605,0.987,0.289,71.908,-3.202,0.876,0.0,0.966,0.931
Will You Help Me? - Score,0.157,0.0633,0.04,92.528,-28.037,0.886,0.106,0.116,0.0435
Nadie,0.716,0.645,0.326,174.005,-7.933,0.0182,0.0,0.0991,0.106
Reflection,0.684,0.56,0.149,140.021,-7.939,0.517,2.17e-05,0.12,0.056
Lead,0.665,0.394,0.378,97.111,-10.141,0.598,0.0,0.0676,0.0885
"Nocturne in C-Sharp Minor, B. 49",0.315,0.0146,0.112,130.274,-31.689,0.991,0.859,0.0776,0.0447
Black Horse - NGHTMRE Remix,0.642,0.66,0.53,168.006,-5.913,0.08,0.601,0.153,0.128
Lansana's Priestess,0.476,0.877,0.894,116.984,-8.852,0.26,0.339,0.384,0.0392
"Piano Concerto No.1 In G Minor, Op.25, MWV O7: 2. Andante",0.228,0.0152,0.0386,88.818,-31.781,0.987,0.926,0.0706,0.0352
Sober Up,0.651,0.568,0.805,93.006,-6.774,0.282,0.0,0.0862,0.0275
31 Como Miller (Remix),0.422,0.663,0.289,74.394,-7.279,0.432,0.0,0.197,0.307
Two Princes,0.543,0.912,0.836,103.731,-10.71,0.00162,2.1e-06,0.0565,0.0601
Nice Time - Live,0.584,0.58,0.692,84.089,-8.536,0.368,0.0,0.417,0.039
I'm Your Boogie Man,0.753,0.753,0.913,113.068,-13.023,0.0144,4.43e-05,0.0711,0.0436
"Mazurka in E Minor, Op. 41 No. 2",0.442,0.017,0.0375,76.726,-24.902,0.995,0.893,0.061,0.0812
Brideshead Revisited: Always summer,0.335,0.0929,0.112,78.337,-25.321,0.989,0.914,0.137,0.0331
Requiem: I. Requiem Aeternam,0.0851,0.0323,0.0381,85.074,-28.632,0.951,0.0997,0.0772,0.0442
Aleluya,0.326,0.202,0.104,99.144,-11.293,0.927,0.00288,0.115,0.0349
Subconscious Flirtations and Titillations,0.387,0.664,0.48,134.447,-10.856,0.362,0.966,0.232,0.0484
Prom,0.805,0.702,0.225,120.041,-4.877,0.0658,0.0,0.123,0.0887
Stick to the Models,0.813,0.543,0.165,137.986,-6.555,0.088,7.42e-06,0.112,0.211
The Departure (from Gattaca),0.585,0.014,0.266,127.593,-29.092,0.996,0.929,0.126,0.102
"I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version",0.684,0.471,0.453,121.081,-9.43,0.208,0.0,0.14,0.043
"Hope Is A Butterfly, No Net Its Captor…(The Virus Of Silence)",0.341,0.884,0.736,122.402,-5.645,0.00529,0.0,0.242,0.0672
"Symphony No.4 In E Minor, Op.98: 4. Allegro energico e passionato - Più allegro",0.174,0.15,0.0582,79.299,-17.478,0.967,0.84,0.113,0.0403
Count Your Blessings,0.703,0.742,0.354,101.105,-3.992,0.00266,0.0,0.113,0.171
Bahay Kubo,0.64,0.261,0.462,119.629,-8.761,0.979,3.03e-06,0.15,0.0359
Two Figures By A Fountain,0.328,0.197,0.346,139.826,-21.547,0.952,0.847,0.107,0.0375
Otherside Of Paradise,0.431,0.478,0.159,124.335,-8.274,0.443,0.0,0.111,0.0318
SOHO,0.547,0.596,0.368,159.985,-7.744,0.342,0.335,0.148,0.192
Angel Face,0.389,0.026,0.0687,64.623,-26.405,0.995,0.944,0.0928,0.0492
I Hope You're Happy,0.54,0.939,0.672,176.085,-1.712,0.0222,9.66e-05,0.105,0.0878
Bones (feat. OneRepublic) - Hook N Sling Remix,0.592,0.791,0.291,126.179,-4.156,0.00207,0.00483,0.198,0.0438
Sweet Sundays,0.678,0.831,0.66,109.983,-5.931,0.564,0.875,0.0776,0.029
"Push Back (Ne-Yo, Bebe Rexha, Stefflon Don)",0.782,0.671,0.706,106.975,-5.127,0.184,2.27e-06,0.125,0.0459
Michigan,0.681,0.657,0.552,95.976,-7.696,0.532,0.831,0.202,0.0232
Hosanna (Be Lifted Higher),0.356,0.677,0.0395,136.01,-5.292,0.0105,8.82e-05,0.386,0.0346
"Elgar / Transc. Walter: Salut d'amour, Op. 12",0.194,0.114,0.106,83.247,-20.275,0.984,0.868,0.0844,0.0436
Lasik,0.579,0.687,0.309,60.797,-12.657,0.938,0.0,0.281,0.944
Nervous Man Nervous,0.481,0.63,0.87,83.562,-4.575,0.517,0.0,0.054,0.044
Selfish,0.457,0.951,0.77,189.652,-4.173,0.000888,0.0,0.0751,0.158
"St. Matthew Passion, BWV 244, Pt. 1: No. 14, Und da sie den Lobgesang gesprochen hatten",0.355,0.127,0.139,81.816,-22.56,0.856,0.0,0.0879,0.0747
Who Do You Love?,0.456,0.923,0.342,115.526,-7.496,0.00419,0.00516,0.275,0.112
Black History Month,0.701,0.86,0.709,113.087,-6.727,0.0101,8.95e-05,0.278,0.0476
How Deep Is Your Love,0.72,0.434,0.756,94.421,-9.08,0.0367,1.52e-05,0.318,0.0907
Teddy Bears Picnic,0.719,0.258,0.921,110.741,-11.282,0.89,0.0,0.107,0.207
It's A Vibe,0.822,0.505,0.523,73.003,-7.384,0.0317,0.000911,0.114,0.147
Natural Mystic,0.856,0.605,0.962,120.03,-6.481,0.271,0.0,0.0567,0.0363
The Anthem,0.742,0.812,0.69,90.069,-4.379,0.00929,0.624,0.0536,0.113
Oceans - Lark Remix,0.578,0.745,0.159,131.925,-9.325,0.284,0.518,0.105,0.0684
Trap (Maverick - Original Motion Picture Score) - Remastered,0.315,0.0631,0.077,90.115,-16.523,0.71,0.916,0.141,0.0297
Concert Overture - In the South (Alassio) Op. 50,0.131,0.137,0.0399,80.594,-17.305,0.963,0.88,0.103,0.0356
I Don't Feel Like Dancin',0.713,0.917,0.792,108.042,-3.272,0.0201,0.0,0.301,0.0298
Coppelia: Act I - Theme slave varie,0.304,0.0433,0.239,129.606,-24.292,0.789,0.0991,0.15,0.0385
White Lies,0.407,0.73,0.554,165.484,-8.017,0.139,8.95e-06,0.0849,0.0387
Tragedy and Harmony,0.474,0.972,0.409,135.05,-4.799,4.12e-06,0.0222,0.098,0.143
Frijoles,0.67,0.776,0.967,95.022,-6.459,0.516,0.0,0.144,0.0342
Israel's People in Egypt,0.448,0.0853,0.395,84.513,-22.087,0.983,3.07e-05,0.107,0.203
Beijo (Interlude),0.841,0.752,0.549,112.362,-11.165,0.248,0.0068,0.105,0.0898
Coolie High,0.765,0.601,0.368,85.928,-9.326,0.0225,0.0,0.385,0.203
What a Phone Call Should Be,0.725,0.731,0.445,81.459,-11.029,0.857,0.0,0.722,0.958
Just Kickin' It,0.694,0.365,0.693,80.904,-12.294,0.054,3.43e-05,0.401,0.0635
Spaceship Earth,0.277,0.328,0.161,135.247,-9.854,0.912,0.41,0.399,0.0306
Groove Again,0.776,0.672,0.972,93.966,-6.637,0.524,6.42e-05,0.304,0.0551
Get Free,0.502,0.978,0.603,138.811,-3.278,0.000163,1.27e-06,0.287,0.0649
Volvi Pa la Calle (feat. Endo),0.733,0.774,0.777,169.933,-7.756,0.369,0.0,0.57,0.24
Diamond Dealer,0.696,0.382,0.779,91.684,-12.58,0.855,0.0,0.214,0.731
I Done Lost My Good Thang,0.765,0.35,0.549,140.032,-11.992,0.0704,2.41e-05,0.248,0.0416
Altitude Adjustment,0.625,0.907,0.864,125.033,-4.375,0.149,0.0,0.222,0.0385
Children,0.579,0.767,0.233,86.225,-16.267,0.899,0.0,0.727,0.917
Diles,0.705,0.671,0.718,87.922,-6.253,0.231,0.0,0.0467,0.46
Freak Out,0.733,0.886,0.612,96.396,-6.118,0.00382,1.27e-05,0.0848,0.143
Melatonin,0.693,0.494,0.418,94.254,-8.801,0.291,0.055,0.101,0.143
A Case Of You,0.459,0.276,0.474,166.912,-11.192,0.933,0.000208,0.114,0.08
Bare Bones,0.753,0.18,0.187,114.891,-13.618,0.975,0.00266,0.111,0.0566
Love All Over Me,0.514,0.628,0.422,129.539,-5.661,0.546,0.0,0.161,0.0451
Slaves & Bulldozers,0.473,0.742,0.244,130.977,-6.056,3.36e-05,0.00248,0.183,0.0342
I Can't Take It,0.721,0.93,0.19,111.944,-4.22,0.00141,0.172,0.272,0.0458
Hymn - Ixion,0.173,0.209,0.052,71.288,-14.522,0.978,0.851,0.109,0.0649
Madre,0.761,0.737,0.653,176.016,-3.044,0.206,0.0,0.0891,0.356
Bleed Red,0.487,0.668,0.184,90.083,-4.251,0.346,4.56e-05,0.107,0.0321
Turnin' Me Up,0.734,0.776,0.843,78.542,-4.193,0.0406,0.193,0.0547,0.0826
Umbrella,0.583,0.829,0.575,174.028,-4.603,0.00864,0.0,0.0426,0.134
Wassup Bro!,0.81,0.585,0.281,139.968,-7.037,0.248,0.0115,0.0959,0.288
Sex with My Ex,0.497,0.77,0.47,167.892,-4.298,0.0472,0.0,0.102,0.0757
"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2, ""Moonlight"": I. Adagio sostenuto (Excerpt)",0.276,0.0127,0.296,75.004,-34.464,0.996,0.918,0.148,0.0485
Hail H.I.M - 2002 Remastered Version,0.775,0.652,0.671,137.866,-7.881,0.149,0.18,0.0458,0.0583
Little Secrets,0.597,0.786,0.666,99.888,-4.248,0.00345,0.0,0.0909,0.0419
Faceless (feat. Gus Dapperton),0.672,0.646,0.12,75.03,-9.11,0.205,2.39e-05,0.0993,0.101
You'll Never Never Know,0.407,0.379,0.645,99.943,-10.944,0.915,0.0,0.106,0.0331
"Idomeneo, TrV 262, Act II (After W.A. Mozart): Gott! Du strafst mit harten Händen! [Live]",0.359,0.112,0.329,125.904,-22.657,0.974,9.26e-05,0.351,0.0452
Maybe IDK,0.606,0.533,0.221,120.049,-6.426,0.0424,0.0,0.172,0.0522
Genesis,0.572,0.568,0.626,74.909,-7.894,0.477,0.0,0.11,0.0517
Heptapod B,0.562,0.445,0.0527,125.695,-16.71,0.783,0.872,0.0918,0.0579
The Coaster Guy,0.633,0.779,0.565,87.798,-16.432,0.782,0.0,0.961,0.933
Smoke Break (Interlude),0.709,0.324,0.118,99.974,-15.954,0.673,3.79e-06,0.109,0.247
These are the Good Days,0.555,0.823,0.603,88.875,-4.449,0.00319,0.0,0.156,0.0697
Hey Now,0.526,0.933,0.131,136.026,-4.727,0.000584,1.74e-06,0.0904,0.163
"Medley: Hickory, Dickory Dock / Hey, Diddle Diddle",0.816,0.228,0.962,83.078,-12.851,0.946,0.00156,0.0746,0.0707
Drugs (feat. Wiz Khalifa),0.746,0.573,0.404,74.984,-6.394,0.275,0.0,0.0982,0.155
En Otra Piel,0.747,0.805,0.617,90.064,-3.469,0.266,1.78e-06,0.0671,0.0735
Kanjira,0.826,0.527,0.342,120.039,-9.49,0.319,0.903,0.134,0.0608
Better Things,0.588,0.182,0.523,122.574,-16.192,0.337,0.294,0.0741,0.0567
Nothin',0.374,0.841,0.799,165.233,-7.259,0.00284,0.0,0.3,0.136
Church Dream,0.145,0.268,0.0331,140.211,-20.117,0.143,0.878,0.051,0.0586
She's a Bitch,0.945,0.522,0.593,111.129,-8.211,0.275,1.56e-05,0.093,0.193
Henrietta,0.609,0.951,0.872,122.455,-3.267,0.023,0.0,0.136,0.0918
Make It Wit Chu,0.705,0.811,0.519,91.974,-5.201,0.425,6.15e-05,0.126,0.0285
Pass It On,0.62,0.446,0.811,142.879,-12.649,0.738,0.00234,0.0808,0.208
More Beautiful You,0.457,0.635,0.458,155.843,-5.922,0.0245,0.0,0.113,0.0332
Free Animal,0.579,0.584,0.393,80.001,-7.151,0.0856,0.0,0.0958,0.0438
Please Don't Say No More,0.699,0.52,0.835,105.83,-9.17,0.781,0.00045,0.106,0.0301
Patterns (lux) - Pt. 6,0.0704,0.0543,0.0723,62.966,-29.268,0.847,0.625,0.112,0.0488
Drunk Texting,0.403,0.487,0.375,61.314,-5.601,0.2,0.0,0.264,0.0941
Cuero Mil,0.42,0.468,0.651,98.577,-11.166,0.572,0.0,0.0974,0.0758
You're So Rad,0.459,0.926,0.367,123.666,-6.472,0.0931,1.72e-06,0.221,0.321
Dead To Me,0.675,0.761,0.428,119.001,-4.469,0.432,0.0,0.102,0.0466
Crazy - The Voice Performance,0.606,0.569,0.121,101.966,-5.605,0.615,0.0,0.102,0.0268
Wouldn't It Be Loverly,0.452,0.236,0.386,115.544,-11.322,0.906,0.0,0.0932,0.0355
Satyagraha: Evening Song,0.283,0.19,0.249,117.773,-16.068,0.963,0.689,0.0933,0.045
Hands Christianderson,0.643,0.434,0.904,164.317,-13.794,0.000334,0.889,0.0507,0.136
Crossing Muddy Waters,0.628,0.488,0.491,100.586,-9.926,0.595,0.04,0.332,0.0325
Haiirotoao,0.523,0.597,0.387,80.952,-4.883,0.345,0.0,0.103,0.0295
Songs of Yesterday,0.838,0.647,0.374,77.119,-5.584,0.128,0.00128,0.172,0.0427
Dreaming,0.46,0.0901,0.376,133.739,-17.84,0.946,4.67e-05,0.148,0.0374
Breakers,0.515,0.471,0.151,84.643,-8.383,0.499,4.35e-06,0.0662,0.0471
S.T.P. - Live At Kommotion/1994,0.532,0.83,0.466,103.664,-5.754,0.00574,0.0,0.227,0.156
I Ain't Living Long Like This,0.622,0.749,0.78,145.018,-10.201,0.178,0.603,0.111,0.0301
Racism,0.748,0.707,0.273,84.915,-6.96,0.441,0.0,0.0555,0.307
Warming Sun,0.724,0.433,0.649,82.569,-8.253,0.863,1.31e-06,0.104,0.0702
Devil Without a Cause,0.671,0.933,0.455,92.329,-4.21,0.0463,0.0,0.123,0.215
"Brian DePalma Suite: Main Theme from ""Casualities of War""",0.0736,0.214,0.0344,77.115,-16.77,0.969,0.854,0.115,0.0451
Love You Goodbye,0.546,0.657,0.361,133.188,-4.787,0.0928,0.0,0.119,0.0332
The Bluest Eyes In Texas,0.641,0.561,0.512,113.932,-9.09,0.556,0.0,0.0758,0.0273
Disconnected (Shorty from VA),0.555,0.784,0.514,92.018,-1.692,0.367,6.2e-06,0.0841,0.456
Sat Suhagana,0.673,0.59,0.889,173.895,-10.32,0.347,0.000594,0.0498,0.0807
Slow Cruel Hands Of Time,0.445,0.393,0.197,115.277,-14.672,0.391,2.96e-06,0.099,0.0323
Lulu Suite: V. Adagio,0.0919,0.0997,0.0333,78.271,-21.778,0.955,0.888,0.131,0.0371
My Mama Don't Allow Me,0.621,0.118,0.474,93.082,-14.222,0.993,0.000878,0.12,0.0393
Performing For The President,0.591,0.86,0.294,107.759,-6.165,0.809,0.0,0.707,0.912
Spanish Guitars And Night Plazas,0.341,0.529,0.265,139.916,-8.009,0.699,0.0048,0.107,0.0348
Freak Me,0.697,0.608,0.725,133.879,-10.976,0.0295,0.0,0.276,0.0463
Wat's Wrong (feat. Zacari & Kendrick Lamar),0.706,0.688,0.313,125.966,-6.357,0.151,0.0,0.466,0.269
Hanging Around,0.669,0.65,0.71,120.02,-4.655,0.072,0.0,0.118,0.0311
Most Beautiful Grl,0.615,0.529,0.169,82.017,-7.652,0.501,0.879,0.124,0.0418
Family Doubtings,0.576,0.302,0.0387,112.753,-17.687,0.837,0.687,0.0961,0.0425
Blood On My Name,0.563,0.47,0.178,113.617,-8.996,0.106,0.00191,0.0613,0.0398
My Old Man,0.64,0.196,0.301,143.919,-11.478,0.819,3.63e-05,0.0978,0.0267
For a Dancer - Single Version,0.528,0.469,0.501,104.987,-8.734,0.0576,0.0,0.0782,0.0236
"Violin Sonata No. 9, Op. 47 ""Kreutzer"": II. Andante con variazioni",0.354,0.131,0.272,96.594,-22.496,0.976,0.134,0.207,0.0439
Swimming In The Moonlight,0.662,0.904,0.696,129.945,-4.611,0.0322,0.00068,0.279,0.0472
She Says,0.63,0.768,0.519,119.978,-5.667,0.353,0.0814,0.108,0.0294
Everybody Needs Love,0.534,0.623,0.97,153.489,-5.167,0.108,1.33e-06,0.283,0.281
Deep Down Body Thurst,0.65,0.545,0.25,179.936,-7.314,0.484,0.0026,0.129,0.0386
Hey Baby,0.599,0.877,0.79,187.305,-3.45,0.064,0.0,0.234,0.226
Grandfather's Waltz,0.419,0.269,0.392,82.697,-17.691,0.873,4.65e-05,0.0762,0.0442
joy. (Fransis Derelle & Jinco Remix),0.599,0.753,0.237,137.073,-5.721,0.0892,0.0029,0.316,0.041
(It's Just) Talk,0.622,0.629,0.645,137.087,-11.096,0.781,0.66,0.298,0.0275
Breathe (2 AM),0.386,0.452,0.287,169.837,-7.715,0.417,0.0,0.0881,0.0278
Come Wake Me Up,0.421,0.633,0.161,155.715,-6.837,0.271,0.0,0.113,0.0433
The Last One Alive,0.45,0.906,0.305,105.028,-3.929,3.67e-05,0.283,0.35,0.0439
El Chupa Nibre,0.668,0.762,0.719,104.449,-6.657,0.0389,1.9e-05,0.0317,0.358
Dream Evil,0.435,0.962,0.274,140.025,-3.709,3.09e-05,0.022,0.213,0.0831
Gabriel,0.591,0.519,0.821,92.844,-8.007,0.663,0.0,0.169,0.396
Killer,0.495,0.635,0.26,103.032,-7.388,0.153,0.806,0.113,0.025
Leave (Get Out) - 2018,0.491,0.73,0.461,87.098,-4.399,0.039,0.0,0.112,0.0432
Kyouran Hey Kids!!,0.526,0.981,0.781,142.016,-1.82,0.00318,0.00161,0.187,0.111
Your Place,0.186,0.261,0.0398,186.242,-11.507,0.444,0.519,0.0836,0.0293
Towers and Shadows,0.265,0.0189,0.0362,81.09,-34.296,0.765,0.931,0.11,0.0322
Que Corran,0.578,0.871,0.954,163.925,-4.535,0.00506,0.0,0.0448,0.0378
Journey To The Cave,0.162,0.15,0.0389,87.369,-22.005,0.568,0.884,0.0973,0.0444
American Bad A**,0.554,0.904,0.65,89.397,-3.698,0.000194,0.0,0.315,0.136
Saint,0.338,0.522,0.276,120.051,-8.338,0.613,0.00626,0.24,0.0627
Sweet Caroline - Single Version,0.556,0.161,0.588,126.534,-13.944,0.505,4.36e-05,0.28,0.0297
Guardians of the Universe,0.655,0.958,0.622,150.062,-2.401,0.00524,0.49,0.257,0.192
The Ride,0.556,0.702,0.793,155.948,-10.079,0.517,0.0,0.343,0.205
Flawless,0.499,0.814,0.509,102.014,-2.543,0.208,0.0,0.0777,0.0293
Scream - Original Mix,0.698,0.884,0.623,92.063,-6.093,0.00844,0.0018,0.0539,0.091
The Big Problem in Porn,0.574,0.804,0.575,86.417,-7.835,0.816,0.0,0.576,0.926
Family Time - Score,0.238,0.156,0.115,105.281,-13.824,0.895,0.829,0.269,0.0329
"William Tell: Overture (From ""Armageddon"")",0.193,0.143,0.133,88.935,-17.51,0.859,0.167,0.207,0.0455
When I'm Gone,0.701,0.76,0.301,91.986,-6.561,0.496,0.0,0.0867,0.0512
Trouble,0.612,0.509,0.476,124.557,-8.112,0.263,0.0,0.37,0.0268
Boys Boys Boys,0.716,0.662,0.841,123.019,-4.959,0.0187,0.0,0.0952,0.046
Offering The Claddagh Ring,0.168,0.166,0.106,191.928,-13.514,0.943,0.91,0.0612,0.0431
Iwo Jima,0.153,0.0777,0.0297,134.849,-23.455,0.83,0.791,0.104,0.0406
Good Nigger Sticker (Freestyle),0.699,0.537,0.603,90.287,-8.445,0.269,0.0,0.0995,0.416
"For Children Vol. 1, Sz. 42: No. 3 Quasi adagio",0.578,0.00624,0.544,62.465,-34.408,0.996,0.932,0.066,0.0767
You Are Still Holy,0.351,0.39,0.0997,61.099,-10.613,0.211,0.0,0.0902,0.0311
I Only Have Eyes For You,0.455,0.165,0.44,114.646,-16.631,0.449,0.0,0.114,0.0443
Heartaches By the Number,0.491,0.512,0.839,126.753,-9.109,0.752,6.73e-06,0.0925,0.0352
Being Healthy Sucks,0.497,0.876,0.493,82.22,-5.129,0.837,0.0,0.724,0.894
Young,0.495,0.362,0.198,104.937,-8.737,0.439,1.67e-05,0.127,0.0539
僕達は天使だった - LIVE,0.471,0.872,0.638,147.684,-6.784,0.129,0.0,0.87,0.0436
Doctor My Eyes,0.48,0.626,0.542,75.63,-8.406,0.266,5.7e-05,0.0857,0.0294
REBORN,0.741,0.709,0.542,99.981,-4.467,0.43,0.0,0.314,0.0355
Sunscreen,0.582,0.151,0.197,136.758,-13.845,0.884,3.41e-05,0.0983,0.0353
Keep the Car Running,0.474,0.902,0.279,96.342,-6.261,0.362,0.0218,0.0618,0.0349
Edge of Desire,0.606,0.441,0.455,66.443,-9.303,0.326,0.0128,0.116,0.0272
Stars - Live (1987/Vine St. Bar & Grill),0.543,0.198,0.156,105.63,-14.066,0.89,0.0,0.708,0.0557
Come To the Table,0.44,0.618,0.241,81.037,-6.098,0.0738,0.0,0.0871,0.0304
Caravan (feat. Van Morrison) - Concert Version,0.343,0.965,0.544,164.885,-5.318,0.0973,0.0584,0.967,0.151
"St. Matthew Passion, BWV 244, Pt. 1: No. 23, Gerne will ich mich bequemen",0.225,0.139,0.314,168.084,-24.092,0.904,0.256,0.108,0.0571
I Will Not Bow,0.543,0.952,0.591,107.942,-3.65,0.000192,7.8e-06,0.38,0.0668
The Virginia Company,0.336,0.245,0.202,178.215,-14.664,0.884,0.0278,0.107,0.0499
The World Is Ours,0.778,0.437,0.515,91.109,-7.563,0.0218,0.886,0.167,0.0517
Can't Help Falling In Love,0.365,0.195,0.24,74.721,-10.34,0.906,0.0,0.105,0.0283
Menos Yo,0.458,0.898,0.376,111.658,-6.641,0.000158,0.000123,0.729,0.0612
Weep You No More Sad Fountains - Voice,0.206,0.153,0.0446,95.278,-16.967,0.968,0.345,0.242,0.0495
The Telltale Fart,0.605,0.672,0.674,90.859,-9.309,0.791,0.0,0.87,0.938
JENOVA,0.318,0.638,0.537,178.262,-11.898,0.129,0.0057,0.172,0.0353
BLACKJACK,0.962,0.563,0.899,131.023,-6.372,0.184,0.0,0.059,0.246
Dorothée au lait - Suite,0.81,0.462,0.835,126.731,-14.047,0.681,3.28e-05,0.18,0.459
Bring It On Home,0.652,0.859,0.734,99.04,-5.393,0.0302,1.17e-06,0.0459,0.0388
Touch Me,0.425,0.903,0.769,108.748,-4.801,0.405,0.0128,0.117,0.0732
"Maometto secondo, Act II: No. 28, ""Del periglio al fiero aspetto"" (Arr. for Clarinet by Andreas Tarkmann)",0.471,0.127,0.33,115.62,-18.339,0.942,0.599,0.107,0.0434
Cherry Berry Bin,0.643,0.374,0.709,122.706,-7.157,0.905,0.0,0.0686,0.0564
Petit Sekou,0.495,0.744,0.652,81.069,-5.372,0.173,0.9,0.126,0.0481
Ghost Nation,0.566,0.485,0.0863,140.041,-8.427,0.00104,4.86e-06,0.0985,0.032
Trailer,0.569,0.616,0.347,127.862,-6.408,0.012,1.28e-05,0.128,0.0274
Whatever It Is,0.686,0.576,0.72,83.971,-6.632,0.443,1.7e-05,0.212,0.0284
BYM.,0.532,0.389,0.185,80.032,-9.494,0.395,0.00066,0.0957,0.0356
Sayuri's Theme and End Credits,0.298,0.228,0.176,123.3,-17.046,0.937,0.894,0.615,0.0372
Beautiful Drug,0.61,0.857,0.373,125.838,-5.267,0.0424,2e-06,0.128,0.0877
An Uncertain Present,0.474,0.155,0.0669,119.871,-18.687,0.953,0.951,0.097,0.0386
Buttcheeks,0.713,0.366,0.415,145.963,-13.424,0.163,0.00022,0.107,0.251
Changed,0.443,0.559,0.291,140.429,-6.691,0.0784,1.17e-05,0.0987,0.0358
Lullaby,0.512,0.0155,0.196,67.882,-21.223,0.983,8.97e-05,0.294,0.0441
The voices,0.479,0.957,0.224,79.352,-4.573,0.829,0.0,0.644,0.93
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",0.781,0.548,0.175,106.996,-4.997,0.229,0.0,0.127,0.0764
La Movie,0.833,0.799,0.309,110.105,-4.294,0.107,0.0,0.0585,0.101
Le cartable et l'aspirateur,0.25,0.146,0.0386,123.025,-19.35,0.908,0.804,0.381,0.0393
